frame_idx,frame,timestamp_ns,ok,num_head_tags,visible_head_tag_ids,head_rmse_px,head_quality_ok,cam_head_tx,cam_head_ty,cam_head_tz,cam_head_roll_deg,cam_head_pitch_deg,cam_head_yaw_deg,cam_back_tx,cam_back_ty,cam_back_tz,cam_back_roll_deg,cam_back_pitch_deg,cam_back_yaw_deg,status,back_head_tx,back_head_ty,back_head_tz,back_head_roll_deg,back_head_pitch_deg,back_head_yaw_deg
3104,frame_003104.png,1.77693761919341E+018,1,2,0 1,2.3938847825223712,1,0.28417959602116666,0.23525099016127005,0.4646869106178906,25.172755706060574,59.09904808776834,62.592201350555804,0.1670497919591064,0.2574002176989137,0.29625608240318724,-15.569158065290264,39.94201857490676,133.43611323802241,ok,-0.041068230294678515,0.053410618863065605,0.19503750774235568,4.434903501818101,-31.597160883756633,-37.6215312735498
3108,frame_003108.png,1.7769376193267E+018,1,2,0 1,2.2791020271838884,1,0.26531024917742013,0.22104563148546275,0.45324861920964493,23.333654590511543,56.71604823488089,62.87996958434383,0.16281976580230922,0.2555397040185838,0.299210626089884,-13.652049475738197,39.66895734602498,132.16983653216562,ok,-0.04409363640093911,0.05540634388126685,0.174378128884904,3.145791541014927,-29.26357749700847,-40.17120586189206
3147,frame_003147.png,1.77693762062661E+018,1,2,0 1,1.8804521404755545,1,0.2666244527488808,0.18466127206725205,0.4725192907478814,35.336217708043016,55.95035020477929,49.53714305413458,0.14463438340327467,0.2325801286748719,0.30085114707775057,-2.3999236506915445,42.31311036971266,122.89115350570725,ok,-0.03325822979136295,0.04997424502059764,0.20747098682573006,5.041391354546257,-27.29667853095783,-42.95054879345131
3148,frame_003148.png,1.77693762065992E+018,1,2,0 1,1.461799635580085,1,0.2764535079872236,0.18927768421160582,0.48876248654849275,36.36184234991014,55.61388172411017,50.38276142982031,0.1437899727743784,0.23230909643233022,0.2999078995962655,-1.9221367469901038,41.74690558822575,123.08430938681157,ok,-0.02729319230125221,0.048497647563796265,0.22807987824567244,5.035683284162503,-27.91416398642791,-42.02114715506347
3149,frame_003149.png,1.77693762069319E+018,1,2,0 1,1.4398540815710428,1,0.2746805825882435,0.187805871360987,0.4898317912607801,36.73251917876237,55.3856496204129,50.43840313382959,0.1429057837970949,0.23207106938036276,0.2998009226826759,-1.2686400424680142,41.293208190862096,122.91455041049349,ok,-0.026707677578509503,0.04792351254890668,0.22896675144664153,5.267348456030427,-27.97513842873274,-42.09937567316104
3150,frame_003150.png,1.77693762072656E+018,1,2,0 1,1.3184350277513284,1,0.2727219421734401,0.1862016828708972,0.4919781876691822,36.953064542439016,54.996935541911185,50.57263011376717,0.14149509047364656,0.23133369496469972,0.29989971841722923,-0.5786591017500966,40.81632270336014,122.79163531899574,ok,-0.025524727822283544,0.047291376007813704,0.2307889457875617,5.320571203733788,-27.935102675697074,-42.38424482907508
3151,frame_003151.png,1.7769376207599E+018,1,2,0 1,1.2668816596465498,1,0.27147004682131065,0.1846358315761428,0.4960612972895225,37.153516923665485,54.19904370698074,51.001782210368994,0.1402478504004482,0.23096647133465156,0.30129686301121605,0.2720147623716371,40.48686602352694,122.20925458274179,ok,-0.024135729174095455,0.046873261204880265,0.2334937725828049,5.034864612555342,-27.639700325063206,-42.22057802275891
3153,frame_003153.png,1.77693762082654E+018,1,2,0 1,1.1211981861006792,1,0.2672288092731231,0.17911351172814408,0.5031856752438535,37.56644611714137,53.291652269696215,50.984491450774385,0.1370280975350657,0.22957968542953971,0.30593340149064335,2.38543920832124,39.684256471637845,120.78532361602369,ok,-0.02245044516457645,0.044791833097991784,0.23642586306409347,5.515869945210467,-26.86999980351749,-42.40756465758514
3154,frame_003154.png,1.77693762085988E+018,1,2,0 1,1.068724676581,1,0.26536081330546457,0.17618568807662188,0.5086899205499599,38.24060614944735,52.31824910177246,50.94079122470734,0.1349100736953059,0.22860778687819,0.30843581439901085,3.53918145598745,39.238052587000126,119.99195223670047,ok,-0.02089391733817969,0.04373881058923977,0.23982814598044638,5.240660094275985,-26.67371904591247,-42.40653634796707
3156,frame_003156.png,1.7769376209265E+018,1,2,0 1,0.8820890076081127,1,0.25876589613874346,0.16907657818238023,0.5179561510988371,40.162681327633905,50.38042481000234,50.14977473507329,0.1301281388602997,0.22735623065148516,0.3141126365093447,5.891694241445813,38.50057412731071,118.12571715860904,ok,-0.018870583518738493,0.043285977213697396,0.24344731295305289,4.68258968128881,-26.501294134499048,-42.38159381319955
