t_unix_ns,ok,adc_raw,force_g,force_n,error
1776766109309808867,1,3,3.0,0.02941995,
1776766109410002352,1,0,0.0,0.0,
1776766109509968402,1,3,3.0,0.02941995,
1776766109609971662,1,3,3.0,0.02941995,
1776766109709959084,1,1,1.0,0.00980665,
1776766109809977502,1,0,0.0,0.0,
1776766109909931194,1,0,0.0,0.0,
1776766110010003442,1,0,0.0,0.0,
1776766110110019925,1,1,1.0,0.00980665,
1776766110209975502,1,3,3.0,0.02941995,
1776766110310002136,1,6,6.0,0.0588399,
1776766110410019672,1,1,1.0,0.00980665,
1776766110509979306,1,1,1.0,0.00980665,
1776766110610022220,1,1,1.0,0.00980665,
1776766110709985214,1,2,2.0,0.0196133,
1776766110810034426,1,0,0.0,0.0,
1776766110910005925,1,3,3.0,0.02941995,
1776766111009994230,1,4,4.0,0.0392266,
1776766111109956087,1,0,0.0,0.0,
1776766111209956088,1,0,0.0,0.0,
1776766111309969940,1,0,0.0,0.0,
1776766111410010240,1,0,0.0,0.0,
1776766111509948519,1,2,2.0,0.0196133,
1776766111609974899,1,0,0.0,0.0,
1776766111709984236,1,0,0.0,0.0,
1776766111810008868,1,1,1.0,0.00980665,
1776766111909968416,1,0,0.0,0.0,
1776766112009939084,1,0,0.0,0.0,
1776766112109965854,1,0,0.0,0.0,
1776766112209966008,1,0,0.0,0.0,
1776766112309953175,1,5,5.0,0.04903325,
1776766112409965449,1,2,2.0,0.0196133,
1776766112509945928,1,0,0.0,0.0,
1776766112609989911,1,0,0.0,0.0,
1776766112709976433,1,5,5.0,0.04903325,
1776766112809962073,1,1,1.0,0.00980665,
1776766112909977283,1,13,13.0,0.12748645,
1776766113009987775,1,1,1.0,0.00980665,
1776766113109970834,1,0,0.0,0.0,
1776766113209929721,1,0,0.0,0.0,
1776766113309923712,1,1,1.0,0.00980665,
1776766113409954913,1,0,0.0,0.0,
1776766113509949685,1,6,6.0,0.0588399,
1776766113609944814,1,0,0.0,0.0,
1776766113709938245,1,0,0.0,0.0,
1776766113809960161,1,1,1.0,0.00980665,
1776766113909976237,1,0,0.0,0.0,
1776766114009990853,1,1,1.0,0.00980665,
1776766114109934683,1,1,1.0,0.00980665,
