frame_idx,frame,timestamp_ns,ok,num_head_tags,head_rmse_px,visible_head_tag_ids,cam_head_tx,cam_head_ty,cam_head_tz,cam_head_roll_deg,cam_head_pitch_deg,cam_head_yaw_deg,cam_back_tx,cam_back_ty,cam_back_tz,cam_back_roll_deg,cam_back_pitch_deg,cam_back_yaw_deg,status,back_head_tx,back_head_ty,back_head_tz,back_head_roll_deg,back_head_pitch_deg,back_head_yaw_deg
1060,frame_001060.png,1.77319339962073E+018,1,2,0.18114142282994,3 4,0.1130655304465679,0.0676051881813292,0.5539834652840239,72.23111556099359,-15.929397166794251,167.0449260913747,0.0525861314679607,0.24017133632025625,0.3755467828309608,48.18446725216169,-5.321947860125406,101.90884859811437,ok,0.0003811080654292365,-0.08509255258492512,0.24090578050432734,-16.61758165895556,-20.109593045085703,57.65212892337334
1061,frame_001061.png,1.77319339965403E+018,1,2,0.18093522690312322,3 4,0.11336433226232182,0.06783832992835524,0.5538663377838705,71.96105075454555,-15.912842654198949,166.9470012605144,0.052698712951664645,0.239978686188844,0.3751607672175256,47.944367948973294,-5.220838353382206,102.10931961979601,ok,-0.00040560212498202963,-0.08473732109893867,0.24097245168518328,-16.75754641269416,-20.01023102092348,57.373633570467234
1062,frame_001062.png,1.77319339968731E+018,1,2,0.17398199279128204,3 4,0.11373464211355767,0.06764149928813827,0.554248111780569,72.16377814263629,-15.817058217435749,166.83361645027134,0.052781507943422595,0.23992009704564013,0.3749782388877927,47.756245440012265,-5.2358298316976075,102.1676548816391,ok,-0.0010528647162625915,-0.08502346888838216,0.24145970336998543,-16.802461635992326,-20.382676462307238,57.07956304602315
1063,frame_001063.png,1.77319339972068E+018,1,2,0.17305037307221763,3 4,0.1142023753493059,0.06788044489195887,0.5543339905637905,71.93019798467215,-15.699473593045749,166.55880132498453,0.05281186369818346,0.2399009325490188,0.3748586754249721,47.61531645729501,-5.125315370637452,102.17491353372742,ok,-0.001335091622159057,-0.08493277024329729,0.2415696046854761,-16.760431980501455,-20.313997947809863,56.88188161464363
1064,frame_001064.png,1.77319339975397E+018,1,2,0.15797032639464484,3 4,0.11478582053448415,0.06838312817340658,0.5541479707811333,71.53343000575656,-15.516026716544582,166.15392939394124,0.05275882167183604,0.2398338067439941,0.3746848098253636,47.51946320088481,-5.051469007374318,102.24067066783532,ok,-0.0015317278452186556,-0.08520363892368152,0.2412212752524733,-16.5663393966077,-20.068777967963445,56.59495404437797
1065,frame_001065.png,1.77319339978741E+018,1,2,0.13717832466053,3 4,0.11538020137256288,0.06857633381539022,0.5545026284921838,71.60266812804223,-15.341853639709873,165.95233818953994,0.052684688951065366,0.2396788075070182,0.3745167925635531,48.00975081646903,-5.026576388886653,102.40967744347506,ok,0.000773406477940719,-0.08633045346256998,0.24113925346878576,-16.32986548474806,-19.691550608726786,56.44304784279043
1066,frame_001066.png,1.77319339982068E+018,1,2,0.15564055915202998,3 4,0.11601150016639677,0.06898563810682193,0.5547581065764573,71.35696006321473,-15.212211729009796,165.70823361776561,0.05290163970703748,0.24038887584639698,0.3757273088186346,47.467139234765696,-4.871626289437035,101.94422797322134,ok,-0.0016534953902615501,-0.08539280022379159,0.24107941961840187,-16.286870792804798,-20.104051330187094,56.61558039474997
1067,frame_001067.png,1.77319339985401E+018,1,2,0.15103144617020403,3 4,0.11683640127766967,0.0693778085893201,0.555028316679531,71.07637107901026,-15.077983669757266,165.39005007298664,0.05303275223663449,0.24020041966155764,0.37562129069495276,47.430619921279295,-4.755476868127956,101.98743914396721,ok,-0.0012561106972318048,-0.08568280067338888,0.24102910801768376,-16.19632286939334,-19.889938604347048,56.398328874098496
1068,frame_001068.png,1.77319339988731E+018,1,2,0.12320599797062368,3 4,0.11776005342027845,0.06948836054970578,0.5555664243101626,71.1936637590692,-14.86209061797152,165.15758530453022,0.05321239053671642,0.24005688493234956,0.3755499326874459,47.38300746023052,-4.787617832190478,102.2942352073784,ok,-0.0015001793408052078,-0.0866392737509627,0.24115834063080901,-16.111204312601355,-20.032373352098823,55.862849404103194
1069,frame_001069.png,1.77319339992066E+018,1,2,0.14502359844712331,3 4,0.11869016339761458,0.07020693318289765,0.5560821233636086,70.67112110856921,-14.688792625763723,164.89907983831537,0.053504452106347807,0.24061653064375385,0.3765416115659521,47.66126354701283,-4.449492065217952,101.9972546162108,ok,5.690768595123519e-05,-0.08603369794338908,0.24108422349789885,-15.891259536551608,-19.369813705833415,56.281394252536224
