label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
3745.0g,3745.0,36.72590425,953.06,1.3770983988081607,948,959,100
2499.0g,2499.0,24.50681835,949.16,0.976933979345585,944,950,100
1871.0g,1871.0,18.34824215,937.99,1.299961537892564,935,943,100
1456.0g,1456.0,14.2784824,868.2,83.61303726094394,69,887,100
1456.0g,1456.0,14.2784824,924.53,1.0339729203417274,922,929,100
898.0g,898.0,8.8063717,870.46,2.1091230405075945,866,876,100
426.0g,426.0,4.1776329,731.66,2.4908633041578176,725,739,100
367.0g,367.0,3.5990405500000002,592.37,5.585078334276074,577,601,100
309.0g,309.0,3.03025485,633.54,1.0901376059929315,630,639,100
309.0g,309.0,3.03025485,691.68,1.0665833300778707,689,696,100
309.0g,309.0,3.03025485,685.06,5.0374993796525676,672,696,100
0.0g,0.0,0.0,0.29,0.7654410493303844,0,6,100
0.0g,0.0,0.0,0.39,1.2481586437628833,0,7,100
0.0g,0.0,0.0,0.37,0.8562125904236634,0,5,100
309.0g,309.0,3.03025485,707.5,7.40337760755184,696,718,100
