label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
0.0g,0.0,0.0,0.48,1.0721940122944167,0,5,100
323.0g,323.0,3.16754795,167.17,1.9134001149785687,163,172,100
583.0g,583.0,5.7172769500000005,239.23,1.7137969541342988,235,244,100
191.0g,191.0,1.87307015,113.52,17.57696219487315,78,137,100
151.0g,151.0,1.48080415,73.34,2.6729010456805167,60,81,100
65.0g,65.0,0.63743225,0.36,0.9748846085563152,0,6,100
100.0g,100.0,0.980665,111.78,12.689822693796788,80,123,100
100.0g,100.0,0.980665,75.65,1.6635804759614126,70,84,100
808.0g,808.0,7.9237732,296.07,1.4018202452525788,291,301,100
