label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
1488.0g,1488,14.5922950,364.33,1.7149640000000,361,372,100
1062.0g,1062,10.4146620,352.28,2.78596500000000,343,356,100
426.0g,426,4.1776330,88.31,1.6352060000000,85,94,100
249.0g,249,2.44185600,140.28,1.23353200000000,135,143,100
2172.0g,2172,21.3000440,446.55,1.28355000000000,443,452,100
3071.0g,3071,30.11622200,518.14,4.24033000000000,512,526,100
2597.0g,2597,25.46787000,495.36,1.81945000000000,492,501,100
3495.0g,3495,34.27424200,543.6,2.46981800000000,533,549,100
4130.0g,4130,40.5014640,583.58,1.5243360000000,580,588,100
