label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
997.0g,997.0,9.77723005,363.59,1.2417326604386307,359,367,100
1581.0g,1581.0,15.50431365,402.77,1.0849423947841654,397,405,100
2172.0g,2172.0,21.3000438,479.74,1.5467385040788246,475,486,100
2598.0g,2598.0,25.4776767,520.39,3.746718564290625,513,526,100
3431.0g,3431.0,33.64661615,508.8,5.221110992882645,490,517,100
3431.0g,3431.0,33.64661615,525.63,1.5852760012060991,520,529,100
3431.0g,3431.0,33.64661615,545.52,1.1702991070662234,543,548,100
3063.0g,3063.0,30.03776895,515.71,1.1251222155837115,512,520,100
3063.0g,3063.0,30.03776895,518.05,0.8170067319184096,515,521,100
