frame_idx,frame,timestamp_ns,ok,num_head_tags,head_rmse_px,visible_head_tag_ids,cam_head_tx,cam_head_ty,cam_head_tz,cam_head_roll_deg,cam_head_pitch_deg,cam_head_yaw_deg,cam_back_tx,cam_back_ty,cam_back_tz,cam_back_roll_deg,cam_back_pitch_deg,cam_back_yaw_deg,status,back_head_tx,back_head_ty,back_head_tz,back_head_roll_deg,back_head_pitch_deg,back_head_yaw_deg
2258,frame_002258.png,1.77318861682826E+018,1,2,0.4985621762920454,1 2,0.032420387609950904,0.0706781460266895,0.5267921464916859,61.249965077982694,16.538149395398783,23.983277111862016,0.007667271791397116,0.21970957750734363,0.3244957292465826,65.31226086179277,17.731626161790132,75.22490539981445,ok,0.1064730651739284,0.07296219811988153,0.21699522755140985,-2.1099373490508557,3.4708160920132514,-52.37506024732775
2259,frame_002259.png,1.77318861686209E+018,1,2,0.4845259520546984,1 2,0.03246579429338606,0.07061012732174254,0.5268423768430295,61.2686125361408,16.571250667379267,24.036014684368443,0.007691106083643355,0.2196734054290822,0.3244314803358247,65.46058189469935,17.698606395599036,75.04945976270685,ok,0.10694288395266194,0.07324724266787094,0.21679916534499832,-2.0861748361109376,3.601459426842828,-52.183464020764426
2260,frame_002260.png,1.77318861689513E+018,1,2,0.48993867828517135,1 2,0.03229416845680193,0.07063309243497964,0.5264713305695274,61.263281485520984,16.46385043110738,24.180284950100347,0.00774326624018788,0.21951067834887622,0.32414279837542803,65.74382602950722,17.62849630472428,74.93517358871,ok,0.10792215683274692,0.07345544602281504,0.21601208957180013,-2.1966122064308964,3.858385667029022,-51.99500703009372
2261,frame_002261.png,1.77318861692884E+018,1,2,0.48416003252968237,1 2,0.032324547013686596,0.07071358127676608,0.5266550880350848,61.1940120918462,16.500996585148282,24.184856752934643,0.007748683208146156,0.2196258567524282,0.3243467646309985,65.66179454883229,17.681531995082466,75.09176752780176,ok,0.1077270775537501,0.07329995316052129,0.2161700493040005,-2.1981913640282267,3.8476251445422673,-52.146800620692176
2262,frame_002262.png,1.77318861696183E+018,1,2,0.47536186567114846,1 2,0.032315703228347925,0.07064063686720357,0.5266639144752847,61.211390030380514,16.50712705265583,24.21414651187666,0.007729503944790734,0.2195837675119743,0.3242931155523505,65.52150652446724,17.67751657832123,75.11918544358467,ok,0.1072648044902813,0.07320171973576392,0.2165138507430208,-2.150717428773609,3.7042618713959703,-52.1028910568696
2263,frame_002263.png,1.77318861699505E+018,1,2,0.45443132362483357,1 2,0.03237448462818555,0.07071583326721861,0.5268865190181065,61.12141401043409,16.531752862016226,24.195466527502024,0.007667970977311702,0.21948953759753587,0.32405863451024663,65.62988831428345,17.617433285440878,74.90820467794859,ok,0.10796909812150124,0.073443067210397,0.21640694854934292,-2.128097966233685,3.902481414908969,-51.96467440393976
2264,frame_002264.png,1.77318861702856E+018,1,2,0.47553858492208484,1 2,0.03241092689833052,0.07075825759272945,0.5270784972704617,61.11896221296906,16.51584894684633,24.19609415783799,0.007631444171342918,0.21949053859834422,0.32392472012832146,65.51687382242237,17.606619914488387,74.9657129676788,ok,0.10792989463375319,0.07329661313520017,0.216761425746659,-2.1038833957401732,3.800687016391662,-51.99076215010448
2265,frame_002265.png,1.77318861706201E+018,1,2,0.4834034887521598,1 2,0.03240602280100629,0.07069145169517124,0.5267398763014821,61.14406913908256,16.51116503564729,24.21992463407,0.007611539791174677,0.21945942707874141,0.3236332495816525,65.62579772199418,17.57947872321465,74.73913670375813,ok,0.10803441846388834,0.07364002543607755,0.21657490571601978,-2.1168205746296893,3.8763058398973143,-51.76196074852169
2266,frame_002266.png,1.77318861709543E+018,1,2,0.4790910085660689,1 2,0.03250239547974854,0.07071655760112205,0.5267836919112979,61.07835789851627,16.56012121711108,24.19512165439496,0.007545540778439329,0.21978115571735124,0.3239931427226852,65.10701541466881,17.6648422593654,74.97707825478459,ok,0.105877356259936,0.0730954003479136,0.2177479132569108,-2.0313500483992435,3.4529333786404,-51.90664992413561
2267,frame_002267.png,1.77318861712884E+018,1,2,0.47749486964846255,1 2,0.032588604708387245,0.07069463301739519,0.5267469298880576,61.11413722328247,16.568359383335334,24.16454805674878,0.00750162295594247,0.21991636690074426,0.3239744104404129,65.28578434874171,17.65929934274844,74.90401764051103,ok,0.1064257774651789,0.07317652652512752,0.2175590196162768,-2.055502513014774,3.5867821200413768,-51.903249304873135
