label,force_g,force_n,adc_mean,adc_std,adc_min,adc_max,num_samples
260.0g,260.0,2.549729,0.43,1.0124722218411721,0,7,100
648.0g,648.0,6.3547092,472.89,1.754394482435464,463,480,100
997.0g,997.0,9.77723005,128.49,243.52176473572132,0,756,100
997.0g,997.0,9.77723005,273.53,338.6981090883148,0,761,100
997.0g,997.0,9.77723005,686.4,3.111269837220809,677,693,100
997.0g,997.0,9.77723005,700.81,1.973296733894829,697,708,100
1545.0g,1545.0,15.15127425,776.96,9.409484576744893,753,787,100
