t_unix_ns,t_unix_s,device_id,page,page_hex,page_name,speed_mps,distance_m,wheel_circumference_m
1773158639383053707,1773158639.3830538,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158639630970103,1773158639.63097,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158639878527443,1773158639.8785274,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158640126446810,1773158640.126447,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158640373970235,1773158640.3739703,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158640621724247,1773158640.6217241,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158640869599450,1773158640.8695996,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158641117130276,1773158641.1171303,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158641364747645,1773158641.3647475,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158641612397943,1773158641.612398,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158642108028497,1773158642.1080284,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158642355862411,1773158642.3558626,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158642603767866,1773158642.6037679,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158642851419196,1773158642.8514192,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158643099300114,1773158643.0993001,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158643594716051,1773158643.594716,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158644586235003,1773158644.5862348,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158645081291277,1773158645.0812912,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158645577008091,1773158645.577008,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158646072379733,1773158646.0723796,18412,3,0x03,bike_speed,nan,620.72148,2.20114
1773158646567894683,1773158646.5678947,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158646815456908,1773158646.815457,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158647558727810,1773158647.558728,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158647806332610,1773158647.8063326,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158648053962023,1773158648.053962,18412,5,0x05,bike_speed,nan,620.72148,2.20114
1773158648301752278,1773158648.3017523,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158648549740339,1773158648.5497403,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158648797521389,1773158648.7975214,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158649045334223,1773158649.0453343,18412,133,0x85,bike_speed,nan,620.72148,2.20114
1773158649541021109,1773158649.541021,18412,5,0x05,bike_speed,nan,620.72148,2.20114
