seq,stamp_sec,stamp_nsec,t_unix_ns,frame_id,width,height,point_count,row_step,point_step,is_dense
0,0,0,0,rslidar_201,1,18088,18088,16,16,1
1,1773158840,801347971,1773158840801347971,rslidar_201,1,47088,47088,16,16,1
2,1773158840,901341915,1773158840901341915,rslidar_201,1,47119,47119,16,16,1
3,1773158841,1337767,1773158841001337767,rslidar_201,1,47093,47093,16,16,1
4,1773158841,101336002,1773158841101336002,rslidar_201,1,47118,47118,16,16,1
5,1773158841,201335907,1773158841201335907,rslidar_201,1,47133,47133,16,16,1
6,1773158841,301329851,1773158841301329851,rslidar_201,1,47147,47147,16,16,1
7,1773158841,401327848,1773158841401327848,rslidar_201,1,47139,47139,16,16,1
8,1773158841,501354933,1773158841501354933,rslidar_201,1,47105,47105,16,16,1
9,1773158841,601350784,1773158841601350784,rslidar_201,1,47109,47109,16,16,1
10,1773158841,701348782,1773158841701348782,rslidar_201,1,47168,47168,16,16,1
11,1773158841,801344872,1773158841801344872,rslidar_201,1,47138,47138,16,16,1
12,1773158841,901342869,1773158841901342869,rslidar_201,1,47167,47167,16,16,1
13,1773158842,1337767,1773158842001337767,rslidar_201,1,47097,47097,16,16,1
14,1773158842,101334810,1773158842101334810,rslidar_201,1,47124,47124,16,16,1
15,1773158842,201332808,1773158842201332808,rslidar_201,1,47115,47115,16,16,1
16,1773158842,301330805,1773158842301330805,rslidar_201,1,47117,47117,16,16,1
17,1773158842,401328802,1773158842401328802,rslidar_201,1,47103,47103,16,16,1
18,1773158842,501356840,1773158842501356840,rslidar_201,1,47168,47168,16,16,1
19,1773158842,601354837,1773158842601354837,rslidar_201,1,47104,47104,16,16,1
20,1773158842,701349974,1773158842701349974,rslidar_201,1,47118,47118,16,16,1
21,1773158842,801345825,1773158842801345825,rslidar_201,1,47088,47088,16,16,1
22,1773158842,901344776,1773158842901344776,rslidar_201,1,47136,47136,16,16,1
23,1773158843,1341820,1773158843001341820,rslidar_201,1,47139,47139,16,16,1
